seed,baseline_kappa,optimized_kappa,kappa_improvement,quadratic_baseline_kappa,quadratic_optimized_kappa,quadratic_kappa_improvement,linear_baseline_kappa,linear_optimized_kappa,linear_kappa_improvement,val_kappa,baseline_accuracy,optimized_accuracy,baseline_mae,optimized_mae,within_one_baseline,within_one_optimized,pearson_recovery,spearman_recovery,cat_proportions,recovered_thresholds,status,config
22,0.717948717948718,0.8282442748091603,0.11029555686044235,0.717948717948718,0.8282442748091603,0.11029555686044235,0.6088888888888888,0.7287795077850326,0.11989061889614383,0.9045257012422633,0.6944444444444444,0.7916666666666666,0.3055555555555556,0.20833333333333334,1.0,1.0,0.918661848740447,0.9203485754710915,"(0.413, 0.18, 0.184, 0.223)","(2.128, 2.461, 3.082)",ok,trend_3changes
23,0.796812749003984,0.8332850940665701,0.03647234506258612,0.796812749003984,0.8332850940665701,0.03647234506258612,0.6938469234617308,0.706272310045895,0.012425386584164144,0.8957404584543702,0.7638888888888888,0.7777777777777778,0.2361111111111111,0.2222222222222222,1.0,1.0,0.9339175783661912,0.9156537397903404,"(0.409, 0.177, 0.197, 0.218)","(2.08, 2.512, 3.122)",ok,trend_3changes
24,0.7561290322580645,0.8417582417582418,0.08562920950017727,0.7561290322580645,0.8417582417582418,0.08562920950017727,0.6394849785407726,0.7268847795163584,0.08739980097558586,0.8879660611854685,0.7083333333333334,0.7777777777777778,0.2916666666666667,0.2222222222222222,1.0,1.0,0.9301316716169814,0.9158788346517461,"(0.411, 0.191, 0.183, 0.216)","(1.984, 2.553, 3.132)",ok,trend_3changes
25,0.7572614107883817,0.8779661016949153,0.12070469090653357,0.7572614107883817,0.8779661016949153,0.12070469090653357,0.5975924333619949,0.7691382765531062,0.17154584319111132,0.9040205002960332,0.6388888888888888,0.7777777777777778,0.3611111111111111,0.2222222222222222,1.0,1.0,0.9102955106567154,0.8859733744935367,"(0.397, 0.187, 0.207, 0.209)","(2.0, 2.603, 3.226)",ok,trend_3changes
26,0.7234468937875751,0.8621908127208481,0.13874391893327298,0.7234468937875751,0.8621908127208481,0.13874391893327298,0.5799086757990868,0.7573872472783826,0.1774785714792958,0.8861996701937611,0.6805555555555556,0.8194444444444444,0.3194444444444444,0.18055555555555555,1.0,1.0,0.9247930573765489,0.9046884043989969,"(0.402, 0.186, 0.209, 0.204)","(2.021, 2.583, 3.135)",ok,trend_3changes
27,0.7464788732394366,0.7454545454545455,-0.0010243277848911436,0.7464788732394366,0.7454545454545455,-0.0010243277848911436,0.6560509554140128,0.619718309859155,-0.03633264555485782,0.8602736073508901,0.75,0.7083333333333334,0.25,0.2916666666666667,1.0,1.0,0.9422486838254898,0.9269727956781787,"(0.409, 0.175, 0.21, 0.205)","(2.051, 2.488, 3.094)",ok,trend_3changes
28,0.8373983739837398,0.8793851005124163,0.04198672652867641,0.8373983739837398,0.8793851005124163,0.04198672652867641,0.7073170731707317,0.7559808612440191,0.04866378807328742,0.872126478537592,0.7222222222222222,0.7638888888888888,0.2777777777777778,0.2361111111111111,1.0,1.0,0.9499066959773762,0.9515081355714196,"(0.409, 0.186, 0.202, 0.203)","(1.935, 2.451, 3.064)",ok,trend_3changes
29,0.8318149964961458,0.8790170132325141,0.04720201673636837,0.8318149964961458,0.8790170132325141,0.04720201673636837,0.7027250206440958,0.7624742268041237,0.05974920616002788,0.9048523308174287,0.7222222222222222,0.7777777777777778,0.2777777777777778,0.2222222222222222,1.0,1.0,0.9562485903230943,0.9570068814714775,"(0.404, 0.185, 0.199, 0.212)","(2.157, 2.575, 3.188)",ok,trend_3changes
30,0.7914110429447853,0.6826747720364741,-0.10873627090831117,0.7914110429447853,0.6826747720364741,-0.10873627090831117,0.6965790778383738,0.6208625877632898,-0.07571649007508396,0.8955264638707755,0.7638888888888888,0.7638888888888888,0.2361111111111111,0.2916666666666667,1.0,0.9444444444444444,0.9466075901217478,0.9479066177889256,"(0.391, 0.204, 0.184, 0.221)","(2.078, 2.552, 3.049)",ok,trend_3changes
31,0.6633093525179856,0.7431906614785992,0.07988130896061363,0.6633093525179856,0.7431906614785992,0.07988130896061363,0.5229357798165137,0.6330275229357798,0.11009174311926606,0.8792791441242933,0.6388888888888888,0.7361111111111112,0.3611111111111111,0.2777777777777778,1.0,0.9861111111111112,0.8830115186408752,0.8671618753617598,"(0.41, 0.175, 0.211, 0.204)","(2.018, 2.583, 3.183)",ok,trend_3changes
