seed,baseline_kappa,optimized_kappa,kappa_improvement,quadratic_baseline_kappa,quadratic_optimized_kappa,quadratic_kappa_improvement,linear_baseline_kappa,linear_optimized_kappa,linear_kappa_improvement,val_kappa,baseline_accuracy,optimized_accuracy,baseline_mae,optimized_mae,within_one_baseline,within_one_optimized,pearson_recovery,spearman_recovery,cat_proportions,recovered_thresholds,status,config
32,0.8512396694214877,0.8558178752107926,0.004578205789304901,0.8512396694214877,0.8558178752107926,0.004578205789304901,0.7639344262295081,0.7697516930022574,0.005817266772749297,0.8714693180497313,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.2361111111111111,1.0,0.9861111111111112,0.9353655608143082,0.9419898385748281,"(0.388, 0.192, 0.219, 0.201)","(1.839, 2.605, 3.003)",ok,reference
33,0.8356164383561644,0.9230769230769231,0.08746048472075874,0.8356164383561644,0.9230769230769231,0.08746048472075874,0.7016574585635359,0.8425,0.14084254143646413,0.8886674485665659,0.6666666666666666,0.8055555555555556,0.3333333333333333,0.19444444444444445,1.0,1.0,0.9516990635228932,0.9464595793941734,"(0.378, 0.193, 0.226, 0.203)","(1.95, 2.525, 3.262)",ok,reference
34,0.7784342688330872,0.8525597269624574,0.07412545812937021,0.7784342688330872,0.8525597269624574,0.07412545812937021,0.6335504885993486,0.7373327928658289,0.10378230426648027,0.886857820595518,0.6527777777777778,0.75,0.3472222222222222,0.25,1.0,1.0,0.9192457968223072,0.9246575342465754,"(0.388, 0.19, 0.217, 0.205)","(1.789, 2.412, 3.191)",ok,reference
35,0.7868020304568528,0.8793225123500353,0.09252048189318252,0.7868020304568528,0.8793225123500353,0.09252048189318252,0.6614828209764919,0.793939393939394,0.13245657296290203,0.9114050518333817,0.6527777777777778,0.7777777777777778,0.3611111111111111,0.2361111111111111,0.9861111111111112,0.9861111111111112,0.9321136876219828,0.9310245031834846,"(0.383, 0.211, 0.212, 0.194)","(1.866, 2.548, 3.217)",ok,reference
36,0.7923742390259533,0.8012547051442911,0.008880466118337815,0.7923742390259533,0.8012547051442911,0.008880466118337815,0.7022058823529411,0.6713692946058092,-0.03083658774713194,0.8968027273564912,0.75,0.6944444444444444,0.25,0.3055555555555556,1.0,1.0,0.9381909149370615,0.9347224901922955,"(0.384, 0.198, 0.219, 0.199)","(2.034, 2.5, 3.26)",ok,reference
37,0.8361981799797775,0.8630356427713256,0.026837462791548083,0.8361981799797775,0.8630356427713256,0.026837462791548083,0.7359413202933984,0.7485294117647059,0.012588091471307461,0.8932817020043984,0.75,0.7361111111111112,0.25,0.2638888888888889,1.0,1.0,0.9176814387921042,0.9262010418676444,"(0.393, 0.185, 0.216, 0.206)","(2.001, 2.477, 3.221)",ok,reference
38,0.868,0.8111888111888111,-0.05681118881118885,0.868,0.8111888111888111,-0.05681118881118885,0.8132075471698113,0.7152899824253076,-0.09791756474450364,0.8631803667218468,0.8472222222222222,0.75,0.1527777777777778,0.25,1.0,1.0,0.9316692615835533,0.9415074924432442,"(0.391, 0.193, 0.211, 0.205)","(1.967, 2.552, 3.191)",ok,reference
39,0.8088386433710175,0.9156043956043955,0.10676575223337803,0.8088386433710175,0.9156043956043955,0.10676575223337803,0.6586003924133421,0.8425983760149907,0.18399798360164854,0.9001120238984317,0.6111111111111112,0.8194444444444444,0.4027777777777778,0.19444444444444445,0.9861111111111112,0.9861111111111112,0.9368774242006935,0.9379702874782947,"(0.383, 0.203, 0.218, 0.197)","(1.853, 2.511, 3.119)",ok,reference
40,0.7765237020316027,0.8114285714285714,0.034904869396968685,0.7765237020316027,0.8114285714285714,0.034904869396968685,0.6559513466550826,0.73669240146282,0.08074105480773741,0.9017279668022888,0.6944444444444444,0.7777777777777778,0.3055555555555556,0.25,1.0,0.9722222222222222,0.9110906420023506,0.9144961090745386,"(0.377, 0.199, 0.226, 0.198)","(2.035, 2.55, 3.213)",ok,reference
41,0.6524633821571239,0.784,0.13153661784287618,0.6524633821571239,0.784,0.13153661784287618,0.4956521739130435,0.6321167883211678,0.1364646144081243,0.8966307774184304,0.5972222222222222,0.7083333333333334,0.4027777777777778,0.2916666666666667,1.0,1.0,0.8953157008248273,0.8876455077496946,"(0.393, 0.195, 0.211, 0.201)","(2.002, 2.509, 3.124)",ok,reference
42,0.7800183318056828,0.8657074340527577,0.08568910224707493,0.7800183318056828,0.8657074340527577,0.08568910224707493,0.6675900277008311,0.7728706624605678,0.1052806347597367,0.8835662009314704,0.7222222222222222,0.8055555555555556,0.2777777777777778,0.19444444444444445,1.0,1.0,0.9325923556054295,0.9361373721782753,"(0.386, 0.199, 0.21, 0.205)","(1.963, 2.538, 3.214)",ok,reference
43,0.8748309831949005,0.9230009871668312,0.04817000397193072,0.8748309831949005,0.9230009871668312,0.04817000397193072,0.7685714285714286,0.8424772803769774,0.07390585180554887,0.8609225314927962,0.75,0.8194444444444444,0.25,0.18055555555555555,1.0,1.0,0.9645666664798206,0.966557334876841,"(0.391, 0.205, 0.206, 0.197)","(2.014, 2.458, 3.199)",ok,reference
44,0.7568627450980392,0.8664440734557596,0.10958132835772039,0.7568627450980392,0.8664440734557596,0.10958132835772039,0.6054421768707483,0.7622018348623852,0.15675965799163694,0.9060459931255226,0.6111111111111112,0.7638888888888888,0.4027777777777778,0.25,0.9861111111111112,0.9861111111111112,0.9299182038859474,0.93407936201685,"(0.394, 0.183, 0.217, 0.205)","(1.95, 2.549, 3.198)",ok,reference
45,0.8222996515679443,0.9102915524545228,0.08799190088657849,0.8222996515679443,0.9102915524545228,0.08799190088657849,0.7150837988826816,0.8407784166298098,0.1256946177471282,0.8979153234472383,0.7638888888888888,0.8611111111111112,0.2361111111111111,0.1388888888888889,1.0,1.0,0.9553035984145031,0.9650138272557722,"(0.393, 0.191, 0.207, 0.209)","(1.923, 2.575, 3.085)",ok,reference
46,0.6917808219178082,0.7246835443037976,0.03290272238598935,0.6917808219178082,0.7246835443037976,0.03290272238598935,0.5240193918025562,0.6022978347326557,0.07827844293009956,0.9123035204717085,0.5833333333333334,0.6805555555555556,0.4166666666666667,0.3472222222222222,1.0,0.9722222222222222,0.9018645042873774,0.916682744871053,"(0.386, 0.197, 0.216, 0.201)","(1.899, 2.448, 3.115)",ok,reference
47,0.8052299368800722,0.7204486626402071,-0.08478127423986503,0.8052299368800722,0.7204486626402071,-0.08478127423986503,0.6937354988399071,0.6121585225086572,-0.08157697633124994,0.8648668938904821,0.7083333333333334,0.6666666666666666,0.3055555555555556,0.3888888888888889,0.9861111111111112,0.9444444444444444,0.934175924984757,0.9189015370763394,"(0.384, 0.197, 0.229, 0.19)","(1.927, 2.371, 3.218)",ok,reference
48,0.8230337078651685,0.9191176470588235,0.09608393919365499,0.8230337078651685,0.9191176470588235,0.09608393919365499,0.6990445859872612,0.8490853658536586,0.1500407798663974,0.9166843099892572,0.7083333333333334,0.8472222222222222,0.2916666666666667,0.1527777777777778,1.0,1.0,0.9555142471379326,0.9493214997749053,"(0.382, 0.211, 0.205, 0.202)","(1.98, 2.477, 3.088)",ok,reference
