seed,baseline_kappa,optimized_kappa,kappa_improvement,quadratic_baseline_kappa,quadratic_optimized_kappa,quadratic_kappa_improvement,linear_baseline_kappa,linear_optimized_kappa,linear_kappa_improvement,val_kappa,baseline_accuracy,optimized_accuracy,baseline_mae,optimized_mae,within_one_baseline,within_one_optimized,pearson_recovery,spearman_recovery,cat_proportions,recovered_thresholds,status,config
22,0.7483085250338295,0.8549790525298099,0.10667052749598038,0.7483085250338295,0.8549790525298099,0.10667052749598038,0.6072234762979684,0.7102382485511912,0.10301477225322286,0.8991993548758712,0.6111111111111112,0.6527777777777778,0.4027777777777778,0.3472222222222222,0.9861111111111112,1.0,0.9171828660947178,0.9129204450446976,"(0.44, 0.169, 0.18, 0.212)","(2.121, 2.654, 3.034)",ok,trend_2changes
23,0.8548387096774194,0.9090909090909091,0.05425219941348969,0.8548387096774194,0.9090909090909091,0.05425219941348969,0.7518192263500574,0.8179979777553084,0.06617875140525098,0.8920789981733371,0.75,0.7916666666666666,0.25,0.20833333333333334,1.0,1.0,0.9569090346865399,0.946041546080134,"(0.429, 0.174, 0.197, 0.2)","(2.166, 2.508, 3.168)",ok,trend_2changes
24,0.7838765008576329,0.8487394957983193,0.06486299494068637,0.7838765008576329,0.8487394957983193,0.06486299494068637,0.6280442804428044,0.713375796178344,0.08533151573553965,0.9004129664145013,0.6111111111111112,0.6666666666666666,0.3888888888888889,0.3472222222222222,1.0,0.9861111111111112,0.9348405353034563,0.9255900701009713,"(0.434, 0.18, 0.181, 0.205)","(2.098, 2.67, 3.061)",ok,trend_2changes
25,0.7807848443843031,0.8706093775526875,0.08982453316838446,0.7807848443843031,0.8706093775526875,0.08982453316838446,0.6320968962906889,0.7439379243452958,0.11184102805460694,0.9120741027606756,0.625,0.6944444444444444,0.375,0.3055555555555556,1.0,1.0,0.9305125364462171,0.9190944755289732,"(0.421, 0.184, 0.191, 0.204)","(2.121, 2.645, 3.205)",ok,trend_2changes
26,0.8436213991769548,0.8557114228456913,0.012090023668736571,0.8436213991769548,0.8557114228456913,0.012090023668736571,0.7367205542725173,0.7344064386317908,-0.0023141156407264774,0.887218045112782,0.7361111111111112,0.7083333333333334,0.2638888888888889,0.3055555555555556,1.0,0.9861111111111112,0.9272929291605261,0.9070358222393724,"(0.426, 0.182, 0.191, 0.201)","(2.2, 2.596, 3.116)",ok,trend_2changes
27,0.8325581395348837,0.8837209302325582,0.05116279069767449,0.8325581395348837,0.8837209302325582,0.05116279069767449,0.7008310249307479,0.7696737044145874,0.06884267948383949,0.8799893323851009,0.6666666666666666,0.7222222222222222,0.3333333333333333,0.2777777777777778,1.0,1.0,0.9454261125272899,0.9231783394430512,"(0.431, 0.178, 0.197, 0.193)","(2.102, 2.605, 3.224)",ok,trend_2changes
28,0.8622129436325678,0.9058084772370487,0.043595533604480874,0.8622129436325678,0.9058084772370487,0.043595533604480874,0.7358238825883923,0.8282135401133314,0.0923896575249391,0.8896963405138852,0.6944444444444444,0.8055555555555556,0.3055555555555556,0.2222222222222222,1.0,0.9722222222222222,0.953758136205305,0.9533732072802111,"(0.426, 0.186, 0.194, 0.194)","(2.175, 2.609, 3.137)",ok,trend_2changes
29,0.7843894899536321,0.8809318377911993,0.09654234783756721,0.7843894899536321,0.8809318377911993,0.09654234783756721,0.6385041551246537,0.7457002457002457,0.10719609057559198,0.9145995375236493,0.6111111111111112,0.6805555555555556,0.4027777777777778,0.3194444444444444,0.9861111111111112,1.0,0.9513816024135996,0.9498038459064894,"(0.428, 0.184, 0.184, 0.205)","(2.079, 2.57, 3.183)",ok,trend_2changes
30,0.7327603047470209,0.890227168775728,0.15746686402870713,0.7327603047470209,0.890227168775728,0.15746686402870713,0.6015219647180906,0.8167356029271396,0.21521363820904904,0.9161352088892909,0.5972222222222222,0.8055555555555556,0.4444444444444444,0.2222222222222222,0.9583333333333334,0.9722222222222222,0.9510058489180085,0.9505434433082515,"(0.422, 0.189, 0.182, 0.207)","(2.014, 2.548, 3.115)",ok,trend_2changes
31,0.7068263473053893,0.8213399503722084,0.11451360306681913,0.7068263473053893,0.8213399503722084,0.11451360306681913,0.5237354085603112,0.6894492368944924,0.16571382833418125,0.8912850907568168,0.5277777777777778,0.6666666666666666,0.4722222222222222,0.3611111111111111,1.0,0.9722222222222222,0.8878387152500109,0.8756833236864108,"(0.435, 0.163, 0.199, 0.203)","(2.197, 2.546, 3.232)",ok,trend_2changes
